Slice	Date	Plot	Treatment	Replicate	Microplot	Date2	Area	ok
2017-07	22/07/17	OR2	H	2	OR2-H2	(22-07-17)	20.411	
2017-07	22/07/17	OR2	H	3	OR2-H3	(22-07-17)	42.554	
2017-07	22/07/17	OR2	NH	1	OR2-NH1	(22-07-17)	57.415	
2017-07	22/07/17	OR2	NH	2	OR2-NH2	(22-07-17)	47.137	
2017-07	22/07/17	OR2	NH	3	OR2-NH3	(22-07-17)	24.835	
2017-07	29/07/17	OR2	H	1	OR2-H1	(29-07-17)	46.145	
2017-07	29/07/17	OR2	H	2	OR2-H2	29-07-17)	17.733	
2017-07	29/07/17	OR2	H	3	OR2-H3	(29-07-17)	43.795	
2017-07	29/07/17	OR2	NH	1	OR2-NH1	(29-07-17)	52.705	
2017-07	29/07/17	OR2	NH	2	OR2-NH2	(29-07-17)	43.626	
2017-07	29/07/17	OR2	NH	3	OR2-NH3	(29-07-17)	24.227	
2017-08	04/08/17	OR2	H	1	OR2-H1	(04-08-17)	47.169	
2017-08	04/08/17	OR2	H	2	OR2-H2	(04-08-17)	23.656	
2017-08	04/08/17	OR2	H	3	OR2-H3	(04-08-17)	44.977	
2017-08	04/08/17	OR2	NH	1	OR2-NH1	(04-08-17)	55.328	
2017-08	04/08/17	OR2	NH	2	OR2-NH2	(04-08-17)	43.039	
2017-08	04/08/17	OR2	NH	3	OR2-NH3	(04-08-17)	25.070	
2017-08	12/08/17	OR2	H	1	OR2-H1	(12-08-17)	50.121	
2017-08	12/08/17	OR2	H	2	OR2-H2	(12-08-17)	32.130	
2017-08	12/08/17	OR2	H	3	OR2-H3	(12-08-17)	49.516	
2017-08	12/08/17	OR2	NH	1	OR2-NH1	(12-08-17)	58.837	
2017-08	12/08/17	OR2	NH	2	OR2-NH2	(12-08-17)	47.681	
2017-08	12/08/17	OR2	NH	3	OR2-NH3	(12-08-17)	28.863	
2017-08	20/08/17	OR2	H	1	OR2-H1	(20-08-17)	50.801	
2017-08	20/08/17	OR2	H	2	OR2-H2	(20-08-17)	31.479	
2017-08	20/08/17	OR2	H	3	OR2-H3	(20-08-17)	50.056	
2017-08	20/08/17	OR2	NH	1	OR2-NH1	(20-08-17)	59.820	
2017-08	20/08/17	OR2	NH	2	OR2-NH2	(20-08-17)	50.934	
2017-08	20/08/17	OR2	NH	3	OR2-NH3	(20-08-17)	30.321	
2017-08	28/08/17	OR2	H	1	OR2-H1	(28-08-17)	1.981	
2017-08	28/08/17	OR2	H	2	OR2-H2	(28-08-17)	9.451	
2017-08	28/08/17	OR2	H	3	OR2-H3	(28-08-17)	3.093	
2017-08	28/08/17	OR2	NH	1	OR2-NH1	(28-08-17)	57.933	
2017-08	28/08/17	OR2	NH	2	OR2-NH2	(28-08-17)	49.013	
2017-08	28/08/17	OR2	NH	3	OR2-NH3	(28-08-17)	22.974	
2017-09	01/09/17	OR2	H	1	OR2-H1	(01-09-17)	1.936	
2017-09	01/09/17	OR2	H	2	OR2-H2	(01-09-17)	9.293	
2017-09	01/09/17	OR2	H	3	OR2-H3	(01-09-17)	2.378	
2017-09	01/09/17	OR2	NH	1	OR2-NH1	(01-09-17)	58.480	
2017-09	01/09/17	OR2	NH	2	OR2-NH2	(01-09-17)	46.821	
2017-09	01/09/17	OR2	NH	3	OR2-NH3	(01-09-17)	24.099	
2017-09	08/09/17	OR2	H	1	OR2-H1	(07-09-17)	1.116	
2017-09	08/09/17	OR2	H	2	OR2-H2	(07-09-17)	8.873	
2017-09	08/09/17	OR2	H	3	OR2-H3	(07-09-17)	2.809	
2017-09	08/09/17	OR2	NH	1	OR2-NH1	(07-09-17)	61.583	
2017-09	08/09/17	OR2	NH	2	OR2-NH2	(07-09-17)	45.408	
2017-09	08/09/17	OR2	NH	3	OR2-NH3	(07-09-17)	26.310	
2017-09	14/09/17	OR2	H	1	OR2-H1	(14-09-17)	2.123	
2017-09	14/09/17	OR2	H	2	OR2-H2	(14-09-17)	8.604	
2017-09	14/09/17	OR2	H	3	OR2-H3	(14-09-17)	3.903	
2017-09	14/09/17	OR2	NH	1	OR2-NH1	(14-09-17)	57.871	
